episode_name|episode_link|episode_season
Homer Badman|https://simpsonswiki.com/wiki/Homer_Badman|6
Grampa vs. Sexual Inadequacy|https://simpsonswiki.com/wiki/Grampa_vs._Sexual_Inadequacy|6
Fear of Flying|https://simpsonswiki.com/wiki/Fear_of_Flying|6
Homer the Great|https://simpsonswiki.com/wiki/Homer_the_Great|6
And Maggie Makes Three|https://simpsonswiki.com/wiki/And_Maggie_Makes_Three|6
Bart's Comet|https://simpsonswiki.com/wiki/Bart%27s_Comet|6
Homie the Clown|https://simpsonswiki.com/wiki/Homie_the_Clown|6
Bart vs. Australia|https://simpsonswiki.com/wiki/Bart_vs._Australia|6
Homer vs. Patty and Selma|https://simpsonswiki.com/wiki/Homer_vs._Patty_and_Selma|6
A Star Is Burns|https://simpsonswiki.com/wiki/A_Star_Is_Burns|6
Lisa's Wedding|https://simpsonswiki.com/wiki/Lisa%27s_Wedding|6
Two Dozen and One Greyhounds|https://simpsonswiki.com/wiki/Two_Dozen_and_One_Greyhounds|6
The PTA Disbands|https://simpsonswiki.com/wiki/The_PTA_Disbands|6
'Round Springfield|https://simpsonswiki.com/wiki/%27Round_Springfield|6
The Springfield Connection|https://simpsonswiki.com/wiki/The_Springfield_Connection|6
Lemon of Troy|https://simpsonswiki.com/wiki/Lemon_of_Troy|6
Who Shot Mr. Burns? (Part One)|https://simpsonswiki.com/wiki/Who_Shot_Mr._Burns%3F_(Part_One)|6
Who Shot Mr. Burns? (Part Two)|https://simpsonswiki.com/wiki/Who_Shot_Mr._Burns%3F_(Part_Two)|7
Radioactive Man|https://simpsonswiki.com/wiki/Radioactive_Man|7
Home Sweet Homediddly-Dum-Doodily|https://simpsonswiki.com/wiki/Home_Sweet_Homediddly-Dum-Doodily|7
Bart Sells His Soul|https://simpsonswiki.com/wiki/Bart_Sells_His_Soul|7
Lisa the Vegetarian|https://simpsonswiki.com/wiki/Lisa_the_Vegetarian|7
Treehouse of Horror VI|https://simpsonswiki.com/wiki/Treehouse_of_Horror_VI|7
King-Size Homer|https://simpsonswiki.com/wiki/King-Size_Homer|7
Mother Simpson|https://simpsonswiki.com/wiki/Mother_Simpson|7
Sideshow Bob's Last Gleaming|https://simpsonswiki.com/wiki/Sideshow_Bob%27s_Last_Gleaming|7
The Simpsons 138th Episode Spectacular|https://simpsonswiki.com/wiki/The_Simpsons_138th_Episode_Spectacular|7
Marge Be Not Proud|https://simpsonswiki.com/wiki/Marge_Be_Not_Proud|7
Team Homer|https://simpsonswiki.com/wiki/Team_Homer|7
Two Bad Neighbors|https://simpsonswiki.com/wiki/Two_Bad_Neighbors|7
Scenes from the Class Struggle in Springfield|https://simpsonswiki.com/wiki/Scenes_from_the_Class_Struggle_in_Springfield|7
Bart the Fink|https://simpsonswiki.com/wiki/Bart_the_Fink|7
Lisa the Iconoclast|https://simpsonswiki.com/wiki/Lisa_the_Iconoclast|7
Homer the Smithers|https://simpsonswiki.com/wiki/Homer_the_Smithers|7
The Day the Violence Died|https://simpsonswiki.com/wiki/The_Day_the_Violence_Died|7
A Fish Called Selma|https://simpsonswiki.com/wiki/A_Fish_Called_Selma|7
Bart on the Road|https://simpsonswiki.com/wiki/Bart_on_the_Road|7
22 Short Films About Springfield|https://simpsonswiki.com/wiki/22_Short_Films_About_Springfield|7
"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish"""|https://simpsonswiki.com/wiki/Raging_Abe_Simpson_and_His_Grumbling_Grandson_in_%22The_Curse_of_the_Flying_Hellfish%22|7
Much Apu About Nothing|https://simpsonswiki.com/wiki/Much_Apu_About_Nothing|7
Homerpalooza|https://simpsonswiki.com/wiki/Homerpalooza|7
Summer of 4 Ft. 2|https://simpsonswiki.com/wiki/Summer_of_4_Ft._2|7
Treehouse of Horror VII|https://simpsonswiki.com/wiki/Treehouse_of_Horror_VII|8
You Only Move Twice|https://simpsonswiki.com/wiki/You_Only_Move_Twice|8
The Homer They Fall|https://simpsonswiki.com/wiki/The_Homer_They_Fall|8
Burns, Baby Burns|https://simpsonswiki.com/wiki/Burns,_Baby_Burns|8
Bart After Dark|https://simpsonswiki.com/wiki/Bart_After_Dark|8
A Milhouse Divided|https://simpsonswiki.com/wiki/A_Milhouse_Divided|8
Lisa's Date with Density|https://simpsonswiki.com/wiki/Lisa%27s_Date_with_Density|8
Hurricane Neddy|https://simpsonswiki.com/wiki/Hurricane_Neddy|8
El Viaje Misterioso de Nuestro Jomer|https://simpsonswiki.com/wiki/El_Viaje_Misterioso_de_Nuestro_Jomer|8
The Springfield Files|https://simpsonswiki.com/wiki/The_Springfield_Files|8
The Twisted World of Marge Simpson|https://simpsonswiki.com/wiki/The_Twisted_World_of_Marge_Simpson|8
Mountain of Madness|https://simpsonswiki.com/wiki/Mountain_of_Madness|8
Simpsoncalifragilisticexpiala(Annoyed Grunt)cious|https://simpsonswiki.com/wiki/Simpsoncalifragilisticexpiala(Annoyed_Grunt)cious|8
The Itchy & Scratchy & Poochie Show|https://simpsonswiki.com/wiki/The_Itchy_%26_Scratchy_%26_Poochie_Show|8
Homer's Phobia|https://simpsonswiki.com/wiki/Homer%27s_Phobia|8
Brother from Another Series|https://simpsonswiki.com/wiki/Brother_from_Another_Series|8
My Sister, My Sitter|https://simpsonswiki.com/wiki/My_Sister,_My_Sitter|8
Homer vs. the Eighteenth Amendment|https://simpsonswiki.com/wiki/Homer_vs._the_Eighteenth_Amendment|8
Grade School Confidential|https://simpsonswiki.com/wiki/Grade_School_Confidential|8
The Canine Mutiny|https://simpsonswiki.com/wiki/The_Canine_Mutiny|8
The Old Man and the Lisa|https://simpsonswiki.com/wiki/The_Old_Man_and_the_Lisa|8
In Marge We Trust|https://simpsonswiki.com/wiki/In_Marge_We_Trust|8
Homer's Enemy|https://simpsonswiki.com/wiki/Homer%27s_Enemy|8
The Simpsons Spin-Off Showcase|https://simpsonswiki.com/wiki/The_Simpsons_Spin-Off_Showcase|8
The Secret War of Lisa Simpson|https://simpsonswiki.com/wiki/The_Secret_War_of_Lisa_Simpson|8
The City of New York vs. Homer Simpson|https://simpsonswiki.com/wiki/The_City_of_New_York_vs._Homer_Simpson|9
The Principal and the Pauper|https://simpsonswiki.com/wiki/The_Principal_and_the_Pauper|9
Lisa's Sax|https://simpsonswiki.com/wiki/Lisa%27s_Sax|9
Treehouse of Horror VIII|https://simpsonswiki.com/wiki/Treehouse_of_Horror_VIII|9
The Cartridge Family|https://simpsonswiki.com/wiki/The_Cartridge_Family|9
Bart Star|https://simpsonswiki.com/wiki/Bart_Star|9
The Two Mrs. Nahasapeemapetilons|https://simpsonswiki.com/wiki/The_Two_Mrs._Nahasapeemapetilons|9
Lisa the Skeptic|https://simpsonswiki.com/wiki/Lisa_the_Skeptic|9
Realty Bites|https://simpsonswiki.com/wiki/Realty_Bites|9
Miracle on Evergreen Terrace|https://simpsonswiki.com/wiki/Miracle_on_Evergreen_Terrace|9
All Singing, All Dancing|https://simpsonswiki.com/wiki/All_Singing,_All_Dancing|9
Bart Carny|https://simpsonswiki.com/wiki/Bart_Carny|9
The Joy of Sect|https://simpsonswiki.com/wiki/The_Joy_of_Sect|9
Das Bus|https://simpsonswiki.com/wiki/Das_Bus|9
The Last Temptation of Krust|https://simpsonswiki.com/wiki/The_Last_Temptation_of_Krust|9
